"Name","Source","Page","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment","Treasure"
"Icy Simulacrum","CoA","176","Medium","Monstrosity (Shapechanger)","neutral","14","52 (8d8 + 16)","30 ft.","11","18","14","11","12","14","","Deception +6, Insight +3","","","cold","charmed","Darkvision 60 ft., passive Perception 11","Common","3 (XP 700; PB +2)","Shapechanger. The simulacrum can use its action to polymorph into a Small or Medium humanoid it has seen, or back into its true form. Its statistics, other than its size, are the same in each form. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies.
Ambusher. In the first round of a combat, the simulacrum has advantage on attack rolls against any creature it surprised.
Surprise Attack. If the simulacrum surprises a creature and hits it with an attack during the first round of combat, the target takes an extra 10 (3d6) damage from the attack.","Multiattack. The simulacrum makes two melee attacks.
Slam. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) bludgeoning damage.
Read Thoughts. The simulacrum magically reads the surface thoughts of one creature within 60 feet of it. The effect can penetrate barriers, but 3 feet of wood or dirt, 2 feet of stone, 2 inches of metal, or a thin sheet of lead blocks it. While the target is in range, the simulacrum can continue reading its thoughts, as long as the simulacrum's concentration isn't broken (as if concentrating on a spell). While reading the target's mind, the simulacrum has advantage on Wisdom (Insight) and Charisma (Deception, Intimidation, and Persuasion) checks against the target.","","","","","","","",""
"Illusionist Wizard","MPMM","263","Medium","Humanoid","any alignment","12 (15 with mage armor)","44 (8d8 + 8)","30 ft.","9","14","13","16","11","12","Int +5, Wis +2","Arcana +5, History +5","","","","","passive Perception 10","Any four languages","3 (XP 700; PB +2)","","Multiattack. The illusionist makes two Arcane Burst attacks.
Arcane Burst. Melee or Ranged Spell Attack: +5 to hit, reach 5 ft. or range 120 ft., one target. Hit: 14 (2d10 + 3) psychic damage.
Spellcasting. The illusionist casts one of the following spells, using Intelligence as the spellcasting ability (spell save DC 13):At will: dancing lights, mage hand, minor illusion2/day each: disguise self, invisibility, mage armor, major image, phantasmal force, phantom steed","Displacement (Recharge 5–6). The illusionist projects an illusion that makes the illusionist appear to be standing in a place a few inches from its actual location, causing any creature to have disadvantage on attack rolls against the illusionist. The effect lasts for 1 minute, and it ends early if the illusionist takes damage, if it is incapacitated, or if its speed becomes 0.","","","","","","Urban",""
"Imoen","MaBJoV","88","Medium","Humanoid (Human)","neutral good","16 (studded leather)","156 (24d8 + 48)","30 ft.","11","18","14","14","10","14","Dex +7, Int +5","Acrobatics +7, Deception +5, Perception +3, Stealth +10","","necrotic, poison","","","Darkvision 60 ft., passive Perception 13","Common, Thieves' cant, Undercommon","8 (XP 3,900; PB +3)","Evasion. If Imoen is subjected to an effect that allows her to make a Dexterity saving throw to take only half damage, Imoen instead takes no damage if she succeeds on the saving throw, and only half damage if she fails.
Sneak Attack (1/Turn). Imoen deals an extra 14 (4d6) damage when she hits a target with a weapon attack and has advantage on the attack roll, or when the target is within 5 feet of an ally of Imoen that isn't incapacitated and Imoen doesn't have disadvantage on the attack roll.
Spider Climb. Imoen can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.
Sunlight Sensitivity. While in sunlight, Imoen has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.","Multiattack. Imoen makes two Shortsword attacks and one Hand Crossbow attack.
Shortsword. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) piercing damage plus 3 (1d6) poison damage.
Hand Crossbow. Ranged Weapon Attack: +7 to hit, range 30/210 ft., one target. Hit: 7 (1d6 + 4) piercing damage plus 10 (3d6) poison damage.","Cunning Action. Imoen takes the Dash, Disengage, or Hide action.","","","","","","",""
"Imp","MM'25","177","Tiny","Fiend (Devil)","lawful evil","13","21 (6d4 + 6)","20 ft., Fly 40 ft.","6","17","13","11","12","14","","Deception +4, Insight +3, Stealth +5","","cold","fire, poison","poisoned","Darkvision 120 ft. (unimpeded by magical Darkness), passive Perception 11","Common, Infernal","1 (XP 200; PB +2)","Magic Resistance. The imp has Advantage on saving throws against spells and other magical effects.","Invisibility. The imp casts Invisibility on itself, requiring no spell components and using Charisma as the spellcasting ability.
Sting. Melee Attack Roll: +5, reach 5 ft. Hit: 6 (1d6 + 3) Piercing damage plus 7 (2d6) Poison damage.
Shape-Shift. The imp shape-shifts to resemble a rat (Speed 20 ft.), a raven (20 ft., Fly 60 ft.), or a spider (20 ft., Climb 20 ft.), or it returns to its true form. Its statistics are the same in each form, except for its Speed. Any equipment it is wearing or carrying isn't transformed.","","","","","","","Any",""
"Incubus","MM'25","178","Medium","Fiend","neutral evil","15","66 (12d8 + 12)","30 ft., Fly 60 ft.","8","17","13","15","12","20","","Deception +9, Insight +5, Perception +5, Persuasion +9, Stealth +7","","cold, fire, poison, psychic","","","Darkvision 60 ft., passive Perception 15","Abyssal, Common, Infernal; telepathy 60 ft.","4 (XP 1,100; PB +2)","Succubus Form. When the incubus finishes a Long Rest, it can shape-shift into a Succubus, using that stat block instead of this one. Any equipment it's wearing or carrying isn't transformed.","Multiattack. The incubus makes two Restless Touch attacks.
Restless Touch. Melee Attack Roll: +7, reach 5 ft. Hit: 15 (3d6 + 5) Psychic damage, and the target is cursed for 24 hours or until the incubus dies. Until the curse ends, the target gains no benefit from finishing Short Rests.
Spellcasting. The incubus casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 15):At will: Disguise Self, Etherealness1/day each: Dream, Hypnotic Pattern","Nightmare (Recharge 6). Wisdom Saving Throw: DC 15, one creature the incubus can see within 60 feet. Failure: If the target has 20 Hit Points or fewer, it has the Unconscious condition for 1 hour, until it takes damage, or until a creature within 5 feet of it takes an action to wake it. Otherwise, the target takes 18 (4d8) Psychic damage.","","","","","","Planar (Lower Planes), Urban","Any"
"Initiate of the Comet","BMT","93","Medium","Humanoid (Warlock)","any alignment","12","75 (10d8 + 30)","30 ft.","12","14","16","11","13","17","Wis +3, Cha +5","Arcana +2","","","","","passive Perception 11","Common plus any one language","4 (XP 1,100; PB +2)","Magic Resistance. The initiate has advantage on saving throws against spells and other magical effects.","Multiattack. The initiate makes two Comet Strike attacks.
Comet Strike. Melee or Ranged Spell Attack: +5 to hit, reach 5 ft. or range 120 ft., one target. Hit: 14 (2d10 + 3) force damage.
Spellcasting. The initiate casts one of the following spells, using Charisma as the spellcasting ability (spell save DC 13):At will: Mage Hand, Thaumaturgy1/day each: Dimension Door, Divination, Enthrall","","Moment of Foresight (1/Day). When hit by an attack roll, the initiate can force the attacker to reroll it and use the new roll, possibly causing the attack to miss.","","","","","",""
"Intellect Devourer","MM'25","179","Tiny","Aberration","lawful evil","12","28 (8d4 + 8)","40 ft.","6","14","13","14","11","10","","Perception +2, Stealth +4","","psychic","","","Blindsight 60 ft., passive Perception 12","Understands Deep Speech but can't speak; telepathy 60 ft.","2 (XP 450; PB +2)","Detect Intelligence. The intellect devourer magically senses the location of any creature within 300 feet of itself that has an Intelligence score of 3 or higher, regardless of interposing barriers.","Multiattack. The intellect devourer makes one Claw attack and uses Devour Intellect.
Claw. Melee Attack Roll: +4, reach 5 ft. Hit: 7 (2d4 + 2) Slashing damage.
Devour Intellect. Intelligence Saving Throw: DC 12, one creature the intellect devourer can see within 5 feet. Failure: 11 (2d10) Psychic damage, and the target has the Stunned condition until the end of the intellect devourer's next turn.
Steal Body. Intelligence Saving Throw: DC 12, one Small or Medium creature within 5 feet that has the Incapacitated condition, is a Humanoid or Beast, and has 10 Hit Points or fewer. Failure: The intellect devourer possesses the target, consumes its brain, and teleports inside its skull. While there, the intellect devourer has Total Cover against attacks and other effects originating outside its host. The intellect devourer retains its Intelligence, Wisdom, and Charisma scores; its understanding of Deep Speech; its telepathy; and its Detect Intelligence trait. It otherwise adopts the target's game statistics. It knows everything the target knew, including spells and languages.If the host body dies, the intellect devourer must leave it. The intellect devourer is also forced out if the target regains its devoured brain by means of a Wish spell. By spending 5 feet of its movement, the intellect devourer can voluntarily leave the body, teleporting to the nearest unoccupied space within 5 feet of it. The body then dies unless its brain is restored before the end of the intellect devourer's next turn.","","","","","","","Underdark",""
"Invisible Stalker","MM'25","180","Large","Elemental","neutral","14","97 (13d10 + 26)","50 ft., Fly 50 ft. (hover)","16","19","14","10","15","11","","Perception +8, Stealth +10","","bludgeoning, piercing, slashing","poison","exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, unconscious","Darkvision 60 ft., passive Perception 18","Common, Primordial (Auran)","6 (XP 2,300; PB +3)","Air Form. The stalker can enter an enemy's space and stop there. It can move through a space as narrow as 1 inch without expending extra movement to do so.
Invisibility. The stalker has the Invisible condition.","Multiattack. The stalker makes three Wind Swipe attacks. It can replace one attack with a use of Vortex.
Wind Swipe. Melee Attack Roll: +7, reach 5 ft. Hit: 11 (2d6 + 4) Force damage.
Vortex. Constitution Saving Throw: DC 14, one Large or smaller creature in the stalker's space. Failure: 7 (1d8 + 3) Thunder damage, and the target has the Grappled condition (escape DC 13). Until the grapple ends, the target can't cast spells with a Verbal component and takes 7 (2d6) Thunder damage at the start of each of the stalker's turns.","","","","","","","Urban",""
"Iron Golem","MM'25","181","Large","Construct","unaligned","20","252 (24d10 + 120)","30 ft.","24","9","20","3","11","1","","","","","fire, poison, psychic","charmed, exhaustion, frightened, paralyzed, petrified, poisoned","Darkvision 120 ft., passive Perception 10","Understands Common plus two other languages but can't speak","16 (XP 15,000; PB +5)","Fire Absorption. Whenever the golem is subjected to Fire damage, it regains a number of Hit Points equal to the Fire damage dealt.
Immutable Form. The golem can't shape-shift.
Magic Resistance. The golem has Advantage on saving throws against spells and other magical effects.","Multiattack. The golem makes two attacks, using Bladed Arm or Fiery Bolt in any combination.
Bladed Arm. Melee Attack Roll: +12, reach 10 ft. Hit: 20 (3d8 + 7) Slashing damage plus 10 (3d6) Fire damage.
Fiery Bolt. Ranged Attack Roll: +10, range 120 ft. Hit: 36 (8d8) Fire damage.
Poison Breath (Recharge 6). Constitution Saving Throw: DC 18, each creature in a 60-foot Cone. Failure: 55 (10d10) Poison damage. Success: Half damage.","","","","","","","Any","Any"
"Jackal","MM'25","364","Small","Beast","unaligned","12","3 (1d6)","40 ft.","8","15","11","3","12","6","","Perception +5, Stealth +4","","","","","Darkvision 90 ft., passive Perception 15","—","0 (XP 10; PB +2)","","Bite. Melee Attack Roll: +1, reach 5 ft. Hit: 1 (1d4 - 1) Piercing damage.","","","","","","","Desert, Grassland",""
"Jackalwere","MM'25","182","Small","Fiend","chaotic evil","12","18 (4d6 + 4)","40 ft.","11","15","12","13","11","10","","Deception +4, Perception +4, Stealth +4","","","","","Darkvision 90 ft., passive Perception 14","Common","1/2 (XP 100; PB +2)","Pack Tactics. The jackalwere has Advantage on an attack roll against a creature if at least one of the jackalwere's allies is within 5 feet of the creature and the ally doesn't have the Incapacitated condition.","Multiattack. The jackalwere makes two Rend or Slam attacks.
Rend (Jackal or Hybrid Form Only). Melee Attack Roll: +4, reach 5 ft. Hit: 5 (1d6 + 2) Piercing damage.
Slam (Human or Hybrid Form Only). Melee Attack Roll: +4, reach 5 ft. Hit: 4 (1d4 + 2) Bludgeoning damage.
Sleep Gaze (Recharge 5–6). Wisdom Saving Throw: DC 10, one creature the jackalwere can see within 30 feet (Constructs and Undead succeed automatically). Failure: The target has the Unconscious condition for 10 minutes or until it takes damage or a creature within 5 feet of it takes an action to wake it. Success: The target is immune to this jackalwere's Sleep Gaze for 24 hours.","Shape-Shift. The jackalwere shape-shifts into a Medium human or a Medium jackal-humanoid hybrid, or it returns to its true form (that of a Small jackal). Other than its size, its game statistics are the same in each form. Any equipment it is wearing or carrying isn't transformed.","","","","","","Desert, Grassland","Implements"
